epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3178,1.29874,11.5924,0.69766,1.57763,1.68513,0.00142,0.16667,0.00058,0.00027,0,0,0,0,nan,nan,nan,nan,nan,0.000654762,0.000654762,0.000654762
2,42.7312,1.38064,11.2393,0.64847,1.23403,1.81093,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00131881,0.00131881,0.00131881
3,63.4767,1.34723,11.1121,0.61173,1.111,1.83976,0.01908,1,0.02218,0.00892,0,0,0,0,2.32667,12,11.6066,inf,38.3406,0.00198022,0.00198022,0.00198022
4,84.6216,1.16712,10.7765,0.59425,0.96922,1.61058,0.6467,0.2447,0.30998,0.10666,0,0,0,0,3.6585,11.6898,0.72306,4.30132,3.72518,0.00198812,0.00198812,0.00198812
5,105.778,1.1132,10.6784,0.59592,0.82014,1.54519,0.22871,0.13333,0.05708,0.03002,0,0,0,0,3.02811,11.6488,0.69437,11.4329,4.17704,0.00198416,0.00198416,0.00198416
6,125.633,1.01286,10.721,0.60288,0.71459,1.44403,0.90049,0.66667,0.78419,0.37316,0,0,0,0,2.1463,10.6317,0.59249,1.17831,2.75594,0.0019802,0.0019802,0.0019802
7,146.244,0.82526,10.3591,0.58773,0.60666,1.35054,0.99568,1,0.995,0.82236,0.03421,0.03333,0.00595,0.00178,0.77758,10.6105,0.59272,0.81493,1.14054,0.00197624,0.00197624,0.00197624
8,166.196,0.79615,10.3339,0.57957,0.5299,1.28275,0.99027,1,0.995,0.74673,0,0,0,0,0.98429,10.5245,0.58574,0.64261,1.22832,0.00197228,0.00197228,0.00197228
9,185.558,0.68844,10.2631,0.59428,0.50772,1.241,0.99874,1,0.995,0.63995,0,0,0,0,1.2007,10.106,0.59064,0.79366,1.15615,0.00196832,0.00196832,0.00196832
10,204.793,0.67482,10.0021,0.57939,0.46625,1.21138,0.99795,1,0.995,0.84769,0.06272,0.03333,0.01714,0.00514,0.63085,10.1025,0.58148,0.47742,0.84839,0.00196436,0.00196436,0.00196436
11,224.737,0.5977,10.0703,0.57927,0.44319,1.13331,0.99992,1,0.995,0.82982,0,0,0,0,0.71175,10.1371,0.5845,0.44783,0.95644,0.0019604,0.0019604,0.0019604
12,244.107,0.64932,9.90174,0.58287,0.47596,1.16767,0.96769,0.99847,0.99177,0.76812,0,0,0,0,0.86484,9.93263,0.58386,0.64789,1.12004,0.00195644,0.00195644,0.00195644
13,263.207,0.63626,9.89487,0.58441,0.45498,1.15486,0.9639,1,0.98984,0.7954,0,0,0,0,0.76536,10.0337,0.58792,0.59831,1.01788,0.00195248,0.00195248,0.00195248
14,282.475,0.56002,9.82038,0.58302,0.43093,1.10411,1,0.99421,0.995,0.73513,0,0,0,0,1.11524,10.0137,0.57901,0.56828,1.2893,0.00194852,0.00194852,0.00194852
15,302.248,0.59378,9.73934,0.5795,0.44281,1.12738,0.99727,1,0.995,0.90763,0.01099,0.03333,0.00604,0.00242,0.59134,10.7266,0.5976,0.50638,0.84512,0.00194456,0.00194456,0.00194456
16,321.655,0.55958,9.85032,0.57839,0.45631,1.12833,0.81701,0.89313,0.89748,0.68278,0,0,0,0,0.75068,9.94949,0.59861,0.92406,1.03838,0.0019406,0.0019406,0.0019406
17,340.89,0.56109,9.74237,0.57341,0.44744,1.09286,0.83897,0.93333,0.97286,0.67985,0.04185,0.03333,0.00913,0.00183,0.81113,10.0419,0.59921,0.96831,1.07773,0.00193664,0.00193664,0.00193664
18,360.165,0.52598,9.26451,0.57314,0.40357,1.09011,0.99459,1,0.995,0.83069,0,0,0,0,0.66082,9.53569,0.58069,0.46376,0.9265,0.00193268,0.00193268,0.00193268
19,379.189,0.53963,9.17992,0.56824,0.41144,1.10789,0.99738,1,0.995,0.77392,0.06744,0.06667,0.01538,0.00154,0.90855,9.40026,0.58081,0.51829,1.15075,0.00192872,0.00192872,0.00192872
20,398.232,0.51276,9.27976,0.55829,0.43025,1.09277,0.99356,1,0.995,0.82559,0,0,0,0,0.75526,10.4199,0.60684,0.4922,0.94042,0.00192476,0.00192476,0.00192476
21,417.278,0.59556,9.45997,0.56666,0.48574,1.15723,1,0.99628,0.995,0.82625,0,0,0,0,0.72968,9.80371,0.57503,0.64501,0.96871,0.0019208,0.0019208,0.0019208
22,436.128,0.55195,9.06662,0.55065,0.45692,1.10349,1,0.99941,0.995,0.7896,0.0735,0.06667,0.01454,0.00145,0.87964,9.06972,0.56397,0.6327,1.08187,0.00191684,0.00191684,0.00191684
23,454.902,0.56051,8.96429,0.55199,0.45771,1.12451,1,0.99646,0.995,0.8641,0.09634,0.1,0.01961,0.00243,0.61351,8.70351,0.54726,0.48433,0.87261,0.00191288,0.00191288,0.00191288
24,473.899,0.51307,8.52493,0.53787,0.40348,1.04953,0.99704,1,0.995,0.84338,0.13435,0.13333,0.04701,0.00862,0.59302,8.26281,0.53749,0.44288,0.87044,0.00190892,0.00190892,0.00190892
25,493.499,0.53169,8.46703,0.52112,0.4058,1.08672,0.99531,1,0.995,0.82007,0.0333,0.03333,0.01055,0.00211,0.7218,8.68204,0.52062,0.43096,0.96523,0.00190496,0.00190496,0.00190496
26,512.595,0.48317,8.64814,0.49849,0.39599,1.05803,0.99708,1,0.995,0.84951,0,0,0,0,0.62163,10.1213,0.55241,0.48787,0.84918,0.001901,0.001901,0.001901
27,531.211,0.51601,8.15998,0.49057,0.41504,1.09705,0.9959,1,0.995,0.87722,0.12813,0.13333,0.04644,0.00614,0.54955,8.05088,0.47731,0.45288,0.86599,0.00189704,0.00189704,0.00189704
28,550.301,0.47751,8.29955,0.48589,0.38129,1.05387,0.99814,1,0.995,0.88036,0.0353,0.03333,0.01652,0.00165,0.54982,8.32556,0.47404,0.40844,0.82262,0.00189308,0.00189308,0.00189308
29,569.622,0.453,8.3265,0.48226,0.36901,1.0335,0.99727,1,0.995,0.89185,0.10745,0.1,0.03873,0.00593,0.54849,8.28992,0.43368,0.51481,0.8674,0.00188912,0.00188912,0.00188912
30,589.472,0.50043,8.30551,0.46354,0.40985,1.05549,0.99677,1,0.995,0.90452,0,0,0,0,0.45254,9.20455,0.43857,0.48887,0.73821,0.00188516,0.00188516,0.00188516
31,608.751,0.49203,7.96224,0.45502,0.39281,1.0562,0.99592,1,0.995,0.88645,0.06879,0.03333,0.0406,0.00406,0.55119,8.53101,0.41,0.49807,0.81715,0.0018812,0.0018812,0.0018812
32,627.659,0.46654,7.67597,0.42289,0.38152,1.05128,0.99747,1,0.995,0.90821,0.19963,0.2,0.11784,0.0187,0.52781,7.28421,0.40317,0.39461,0.72896,0.00187724,0.00187724,0.00187724
33,647.153,0.52514,7.71614,0.41134,0.38635,1.07426,0.99584,1,0.995,0.92948,0.16584,0.16667,0.07795,0.01781,0.51849,7.39361,0.37008,0.44188,0.75335,0.00187328,0.00187328,0.00187328
34,666.399,0.44684,7.45615,0.3926,0.37039,1.0392,0.99212,1,0.995,0.91635,0.16553,0.16667,0.08621,0.01153,0.57378,7.3261,0.39415,0.47316,0.80812,0.00186932,0.00186932,0.00186932
35,685.583,0.48449,7.20151,0.39093,0.39327,1.04145,0.9967,1,0.995,0.92971,0.10099,0.1,0.0443,0.00861,0.45452,7.22806,0.35831,0.43406,0.74044,0.00186536,0.00186536,0.00186536
36,704.724,0.48424,7.19841,0.37476,0.39205,1.03456,0.99795,1,0.995,0.8642,0.19964,0.2,0.10753,0.02088,0.63676,6.43934,0.30755,0.49987,0.87646,0.0018614,0.0018614,0.0018614
37,723.644,0.4451,6.75836,0.35745,0.39381,1.03048,0.99811,1,0.995,0.90247,0.19958,0.2,0.14064,0.03167,0.52069,6.35295,0.35136,0.41455,0.78411,0.00185744,0.00185744,0.00185744
38,742.794,0.40268,6.86584,0.34786,0.34862,0.9978,0.99781,1,0.995,0.90872,0.22724,0.16667,0.17138,0.01857,0.50893,6.97421,0.28235,0.4079,0.75776,0.00185348,0.00185348,0.00185348
39,761.596,0.42321,6.97552,0.33827,0.34928,1.02746,0.99741,1,0.995,0.89884,0.26598,0.26667,0.16775,0.04074,0.45032,6.58089,0.27633,0.39959,0.74872,0.00184952,0.00184952,0.00184952
40,780.413,0.45829,6.92863,0.34681,0.36318,1.03973,0.99736,1,0.995,0.80751,0.03323,0.03333,0.00836,0.00248,0.76221,7.77085,0.32526,0.6311,0.93974,0.00184556,0.00184556,0.00184556
41,799.529,0.45354,6.85814,0.32082,0.37438,1.03321,0.99138,1,0.995,0.87,0.26131,0.26667,0.13321,0.02743,0.52104,6.24151,0.27722,0.49142,0.76933,0.0018416,0.0018416,0.0018416
42,818.464,0.3954,6.30022,0.30772,0.33588,1.02191,0.99354,1,0.995,0.87169,0.23228,0.23333,0.13614,0.02576,0.57084,5.98585,0.24436,0.39606,0.84825,0.00183764,0.00183764,0.00183764
43,837.714,0.42039,5.97201,0.31504,0.34048,0.99891,0.99807,1,0.995,0.83506,0.13315,0.13333,0.06725,0.01198,0.72055,6.40107,0.25244,0.45033,0.9952,0.00183368,0.00183368,0.00183368
44,856.713,0.38989,6.14568,0.29892,0.32866,1.00636,0.99811,1,0.995,0.88172,0.46558,0.46667,0.31539,0.06533,0.54808,5.58652,0.2562,0.46514,0.8073,0.00182972,0.00182972,0.00182972
45,876.099,0.42221,5.83109,0.31243,0.33283,0.99701,0.99802,1,0.995,0.85382,0.53223,0.53333,0.42182,0.10687,0.54195,5.40341,0.23621,0.40145,0.87039,0.00182576,0.00182576,0.00182576
46,895.373,0.40518,5.67573,0.29843,0.33907,0.98979,0.99834,1,0.995,0.88064,0.26611,0.26667,0.19857,0.0355,0.57576,6.6286,0.27846,0.44126,0.80161,0.0018218,0.0018218,0.0018218
47,914.292,0.41121,6.25764,0.28042,0.34526,1.00247,0.99725,1,0.995,0.85457,0.41904,0.4328,0.30719,0.07858,0.61776,6.03124,0.23564,0.4429,0.85589,0.00181784,0.00181784,0.00181784
48,933.226,0.38831,5.74685,0.26964,0.33407,1.00338,0.99808,1,0.995,0.92459,0.4328,0.43333,0.35978,0.0755,0.43436,5.19158,0.23535,0.37492,0.73869,0.00181388,0.00181388,0.00181388
49,952.402,0.38577,5.6873,0.26268,0.32107,0.9921,0.99804,1,0.995,0.88886,0.29973,0.3,0.23621,0.05435,0.50944,6.06416,0.22784,0.35457,0.81748,0.00180992,0.00180992,0.00180992
50,971.966,0.40847,5.57575,0.2709,0.33719,0.98616,0.99812,1,0.995,0.88329,0.33268,0.33333,0.19458,0.05965,0.50011,5.87671,0.21456,0.40739,0.76992,0.00180596,0.00180596,0.00180596
51,991.63,0.38432,5.78129,0.24852,0.32471,1.0042,0.9935,1,0.995,0.89872,0.3317,0.33333,0.21451,0.04443,0.47436,6.09005,0.21745,0.38024,0.72416,0.001802,0.001802,0.001802
52,1010.72,0.37039,5.54968,0.24639,0.31685,0.98714,0.96592,1,0.995,0.87346,0.32206,0.33333,0.24348,0.05971,0.45553,5.86624,0.22908,0.41449,0.72139,0.00179804,0.00179804,0.00179804
53,1029.76,0.38574,5.4947,0.23566,0.3039,1.01636,0.99555,1,0.995,0.87448,0.63152,0.63333,0.52906,0.14719,0.48431,4.83406,0.20316,0.44121,0.76841,0.00179408,0.00179408,0.00179408
54,1049.18,0.38086,5.35588,0.24473,0.32102,0.97209,0.99577,1,0.995,0.87817,0.45062,0.46667,0.40859,0.09252,0.49623,5.17094,0.19784,0.37906,0.7597,0.00179012,0.00179012,0.00179012
55,1068.54,0.3629,5.47062,0.23573,0.31358,0.98887,0.99814,1,0.995,0.91843,0.33312,0.33333,0.24223,0.08781,0.4406,5.83993,0.19198,0.37968,0.71644,0.00178616,0.00178616,0.00178616
56,1087.66,0.3756,5.1331,0.23471,0.31348,0.98344,0.99659,1,0.995,0.83472,0.43197,0.43333,0.3012,0.05947,0.66468,5.32771,0.20093,0.4633,0.86916,0.0017822,0.0017822,0.0017822
57,1106.83,0.39248,5.3411,0.26519,0.33224,0.95894,0.99942,1,0.995,0.85083,0.49886,0.5,0.406,0.09896,0.52404,5.03947,0.19183,0.43822,0.78545,0.00177824,0.00177824,0.00177824
58,1125.66,0.37274,5.29212,0.2422,0.29858,0.98893,1,0.99724,0.995,0.91807,0.46672,0.36667,0.3515,0.07459,0.47255,5.49805,0.20174,0.4435,0.75362,0.00177428,0.00177428,0.00177428
59,1144.57,0.37843,5.26531,0.23949,0.31563,0.99587,0.99562,1,0.995,0.87432,0.4983,0.5,0.34799,0.07585,0.50157,5.10523,0.21027,0.46642,0.76615,0.00177032,0.00177032,0.00177032
60,1163.61,0.37134,5.16078,0.23104,0.31814,0.96414,0.99797,1,0.995,0.87504,0.36662,0.36667,0.289,0.08799,0.5454,5.33691,0.19646,0.43576,0.76056,0.00176636,0.00176636,0.00176636
61,1182.78,0.37459,5.2076,0.23154,0.32258,1.00093,0.99821,1,0.995,0.91216,0.69869,0.7,0.62421,0.18215,0.49773,4.4842,0.20475,0.38878,0.76644,0.0017624,0.0017624,0.0017624
62,1202.37,0.33868,5.1192,0.22998,0.29062,0.96286,1,1,0.995,0.87777,0.36667,0.36667,0.33769,0.09548,0.56156,5.83209,0.24583,0.42456,0.81389,0.00175844,0.00175844,0.00175844
63,1221.5,0.3385,5.16825,0.23878,0.29307,0.96905,1,1,0.995,0.90359,0.46667,0.46667,0.41668,0.13885,0.56312,4.99321,0.21741,0.44619,0.84991,0.00175448,0.00175448,0.00175448
64,1241.04,0.35215,4.86566,0.21946,0.3033,0.99422,0.99747,1,0.995,0.93627,0.25714,0.3,0.17541,0.05139,0.4211,5.47412,0.19489,0.34693,0.70398,0.00175052,0.00175052,0.00175052
65,1260.28,0.3494,5.05217,0.21995,0.29382,0.96834,0.99812,1,0.995,0.89488,0.59885,0.6,0.51716,0.16433,0.48896,4.76173,0.18433,0.37641,0.72681,0.00174656,0.00174656,0.00174656
66,1279.31,0.3382,4.76121,0.22494,0.29284,0.96938,0.99816,1,0.995,0.8874,0.53233,0.53333,0.4321,0.10827,0.5484,4.72528,0.19784,0.37591,0.75858,0.0017426,0.0017426,0.0017426
67,1298.37,0.33998,4.44513,0.21934,0.28802,0.95058,0.99811,1,0.995,0.90052,0.5323,0.53333,0.40115,0.12905,0.5351,4.68447,0.18519,0.35186,0.76492,0.00173864,0.00173864,0.00173864
68,1317.48,0.31737,4.637,0.22463,0.28288,0.93533,0.9981,1,0.995,0.88816,0.6654,0.66667,0.56985,0.16943,0.50719,4.32273,0.19306,0.36489,0.70932,0.00173468,0.00173468,0.00173468
69,1336.8,0.31717,4.23811,0.22183,0.28076,0.94288,0.99813,1,0.995,0.91355,0.69866,0.7,0.61861,0.20423,0.46211,4.24354,0.19407,0.35907,0.7015,0.00173072,0.00173072,0.00173072
70,1356.43,0.32711,4.50123,0.22811,0.29055,0.94176,0.99808,1,0.995,0.92944,0.58136,0.56667,0.55243,0.16096,0.4266,4.64637,0.18222,0.34494,0.70662,0.00172676,0.00172676,0.00172676
71,1375.26,0.33973,4.35183,0.21188,0.27421,0.95073,0.99813,1,0.995,0.91723,0.59883,0.6,0.54769,0.18744,0.45429,4.68516,0.18734,0.38777,0.72647,0.0017228,0.0017228,0.0017228
72,1394.2,0.31416,4.42041,0.20974,0.2797,0.96188,0.99825,1,0.995,0.92547,0.63212,0.63333,0.57046,0.16682,0.42102,4.4953,0.18391,0.3652,0.70375,0.00171884,0.00171884,0.00171884
73,1413.24,0.33257,4.01882,0.22051,0.28217,0.9353,0.99784,1,0.995,0.92141,0.6652,0.66667,0.65495,0.18956,0.4824,4.40723,0.20684,0.39454,0.74657,0.00171488,0.00171488,0.00171488
74,1432.17,0.34199,4.2218,0.22158,0.28586,0.95428,0.99788,1,0.995,0.94046,0.63316,0.63333,0.49704,0.13575,0.41845,4.64557,0.18827,0.32812,0.68906,0.00171092,0.00171092,0.00171092
75,1451.18,0.34609,4.14495,0.21264,0.28516,0.9761,0.99765,1,0.995,0.91015,0.69824,0.7,0.57861,0.18155,0.4485,4.04226,0.17361,0.34066,0.70902,0.00170696,0.00170696,0.00170696
76,1470.61,0.31557,3.96257,0.20702,0.28978,0.93722,0.99797,1,0.995,0.92697,0.54545,0.6,0.48211,0.14877,0.42798,4.65879,0.18819,0.33162,0.69509,0.001703,0.001703,0.001703
77,1489.96,0.33075,4.08523,0.21068,0.2861,0.94584,0.99814,1,0.995,0.90534,0.59907,0.6,0.48834,0.15661,0.42656,4.3632,0.17848,0.35811,0.69283,0.00169904,0.00169904,0.00169904
78,1509.29,0.3311,4.00084,0.20368,0.28925,0.95135,0.99804,1,0.995,0.89217,0.67677,0.698,0.68517,0.25411,0.47939,4.06995,0.18755,0.37146,0.71324,0.00169508,0.00169508,0.00169508
79,1529.02,0.29867,3.83864,0.21035,0.26935,0.9486,0.99815,1,0.995,0.90132,0.76522,0.76667,0.75772,0.22006,0.47568,3.98355,0.18666,0.37901,0.71314,0.00169112,0.00169112,0.00169112
80,1548.15,0.32904,3.7303,0.20649,0.28326,0.9593,0.99826,1,0.995,0.92316,0.81032,0.8,0.76606,0.24249,0.4072,3.89451,0.18504,0.3353,0.69438,0.00168716,0.00168716,0.00168716
81,1568,0.32196,3.72416,0.19675,0.27838,0.95964,0.99774,1,0.995,0.92973,0.7649,0.76667,0.75516,0.31514,0.39271,3.66615,0.17576,0.3282,0.65444,0.0016832,0.0016832,0.0016832
82,1587.71,0.31864,3.83936,0.20568,0.27804,0.95927,0.99785,1,0.995,0.90742,0.56545,0.56667,0.45079,0.13827,0.49861,4.33121,0.1694,0.38446,0.7236,0.00167924,0.00167924,0.00167924
83,1606.81,0.30301,3.89903,0.20145,0.27356,0.92733,0.99695,1,0.995,0.93413,0.63122,0.63333,0.51582,0.17336,0.41127,4.02114,0.17302,0.3216,0.68421,0.00167528,0.00167528,0.00167528
84,1625.76,0.32938,3.74099,0.21,0.27808,0.95065,0.99819,1,0.995,0.93568,0.76522,0.76667,0.69778,0.22434,0.40164,4.07991,0.16797,0.31318,0.68031,0.00167132,0.00167132,0.00167132
85,1645.06,0.35226,3.83644,0.2029,0.2846,0.97116,0.99811,1,0.995,0.90832,0.46621,0.46667,0.38825,0.11567,0.438,4.45584,0.17242,0.33437,0.69031,0.00166736,0.00166736,0.00166736
86,1664.27,0.33604,3.63049,0.21304,0.27963,0.96038,1,1,0.995,0.90886,0.56667,0.56667,0.50112,0.15277,0.46039,4.26281,0.16958,0.34304,0.72508,0.0016634,0.0016634,0.0016634
87,1683.34,0.33117,3.73373,0.20045,0.28605,0.96329,1,1,0.995,0.91603,0.56667,0.56667,0.48185,0.18147,0.51157,4.10957,0.18967,0.35732,0.74498,0.00165944,0.00165944,0.00165944
88,1702.03,0.32161,3.7452,0.20391,0.27048,0.93492,0.99816,1,0.995,0.9426,0.8318,0.83333,0.78881,0.25666,0.36825,3.7615,0.16928,0.30458,0.6542,0.00165548,0.00165548,0.00165548
89,1720.92,0.30998,3.4937,0.20074,0.2616,0.96201,1,1,0.995,0.91861,0.8,0.8,0.8009,0.27286,0.40692,3.50774,0.16421,0.30718,0.67198,0.00165152,0.00165152,0.00165152
90,1740.22,0.31359,3.36862,0.18767,0.26596,0.96668,0.99781,1,0.995,0.92797,0.73169,0.73333,0.64637,0.23794,0.43856,3.69136,0.16405,0.34785,0.6966,0.00164756,0.00164756,0.00164756
91,1759.13,0.29032,3.26977,0.19845,0.26235,0.92057,0.99801,1,0.995,0.93464,0.83168,0.83333,0.77182,0.26307,0.40303,3.29966,0.17228,0.37049,0.6765,0.0016436,0.0016436,0.0016436
92,1778.46,0.2991,3.15532,0.19522,0.25642,0.92949,0.99813,1,0.995,0.92137,0.79887,0.8,0.7556,0.25657,0.44591,3.35034,0.16757,0.33245,0.69125,0.00163964,0.00163964,0.00163964
93,1797.71,0.31161,3.13267,0.19673,0.26745,0.94264,0.99805,1,0.995,0.91389,0.7319,0.73333,0.71903,0.19971,0.46984,3.68515,0.16877,0.34712,0.73162,0.00163568,0.00163568,0.00163568
94,1816.97,0.3055,3.31161,0.18768,0.26673,0.94067,1,1,0.995,0.95003,0.6273,0.6,0.54967,0.2043,0.44811,3.76638,0.15779,0.33973,0.70965,0.00163172,0.00163172,0.00163172
95,1836.38,0.29745,2.91155,0.19182,0.27274,0.94557,0.99811,1,0.995,0.93258,0.86503,0.86667,0.81712,0.3084,0.42093,3.27145,0.16258,0.32971,0.69127,0.00162776,0.00162776,0.00162776
96,1855.77,0.3036,3.13673,0.20158,0.27355,0.93602,0.99814,1,0.995,0.93306,0.69899,0.7,0.60548,0.19417,0.42983,3.84297,0.16443,0.31549,0.6918,0.0016238,0.0016238,0.0016238
97,1874.89,0.30255,3.22011,0.19456,0.27158,0.94347,0.99811,1,0.995,0.91234,0.76519,0.76667,0.65838,0.23466,0.43022,3.65178,0.1765,0.33685,0.71077,0.00161984,0.00161984,0.00161984
98,1894.07,0.31263,3.11327,0.18928,0.27573,0.94084,0.99816,1,0.995,0.93545,0.79849,0.8,0.78001,0.34439,0.36474,3.05694,0.1656,0.30517,0.64758,0.00161588,0.00161588,0.00161588
99,1913.89,0.32148,2.99242,0.18914,0.2741,0.95185,0.99813,1,0.995,0.94471,0.83263,0.83333,0.82044,0.31766,0.34796,3.46766,0.15966,0.30655,0.63342,0.00161192,0.00161192,0.00161192
100,1933.39,0.29122,2.93539,0.1898,0.27435,0.93536,0.99823,1,0.995,0.92786,0.80196,0.8,0.74591,0.34023,0.41995,3.31167,0.16097,0.31555,0.70756,0.00160796,0.00160796,0.00160796
101,1952.8,0.30344,3.5448,0.19825,0.27249,0.92596,0.99819,1,0.995,0.93578,0.79933,0.8,0.78701,0.32948,0.39679,3.46985,0.16843,0.33142,0.67799,0.001604,0.001604,0.001604
102,1972.37,0.2859,3.37838,0.19215,0.26424,0.91593,0.99811,1,0.995,0.93679,0.86574,0.86667,0.82112,0.26622,0.37828,3.3202,0.15613,0.2824,0.67898,0.00160004,0.00160004,0.00160004
103,1991.22,0.2995,3.1201,0.18221,0.27426,0.94098,0.99808,1,0.995,0.91521,0.86501,0.86667,0.81342,0.35192,0.39862,3.00383,0.15898,0.29212,0.68386,0.00159608,0.00159608,0.00159608
104,2009.92,0.28984,3.13413,0.19422,0.25981,0.94094,0.99819,1,0.995,0.92117,0.799,0.8,0.79101,0.27839,0.4269,3.49992,0.15591,0.33867,0.68451,0.00159212,0.00159212,0.00159212
105,2029.08,0.30497,3.57555,0.18946,0.26648,0.93005,0.99821,1,0.995,0.92766,0.76654,0.76667,0.79238,0.34136,0.45406,3.37939,0.17868,0.36189,0.72032,0.00158816,0.00158816,0.00158816
106,2048.1,0.30144,3.42144,0.18593,0.2616,0.93681,0.99823,1,0.995,0.88332,0.54839,0.56667,0.45221,0.17252,0.54355,3.90682,0.176,0.38178,0.79989,0.0015842,0.0015842,0.0015842
107,2067.68,0.32817,3.44361,0.19448,0.2702,0.95159,0.99807,1,0.995,0.91262,0.93153,0.93333,0.89861,0.29942,0.47194,2.72932,0.17144,0.36451,0.74996,0.00158024,0.00158024,0.00158024
108,2087.01,0.30886,2.9492,0.18601,0.27461,0.9434,0.99804,1,0.995,0.90624,0.83331,0.83333,0.76629,0.27021,0.46499,3.22594,0.15849,0.37014,0.73384,0.00157628,0.00157628,0.00157628
109,2105.94,0.32196,2.97995,0.18713,0.28253,0.95277,0.99816,1,0.995,0.94451,0.93162,0.93333,0.91877,0.36624,0.38314,2.61711,0.16445,0.32216,0.65989,0.00157232,0.00157232,0.00157232
110,2125.43,0.29359,2.87951,0.18346,0.25764,0.92221,0.99817,1,0.995,0.9353,0.86661,0.86667,0.8603,0.3602,0.39303,2.94555,0.16113,0.31695,0.67637,0.00156836,0.00156836,0.00156836
111,2144.22,0.28186,2.63866,0.18503,0.25494,0.92346,0.99828,1,0.995,0.94224,0.89996,0.9,0.87151,0.44946,0.37673,2.66721,0.16983,0.29818,0.66296,0.0015644,0.0015644,0.0015644
112,2163.77,0.26848,2.76645,0.18885,0.24269,0.92014,0.99822,1,0.995,0.94971,0.89836,0.9,0.84353,0.31786,0.3577,2.86277,0.16593,0.32866,0.64736,0.00156044,0.00156044,0.00156044
113,2182.73,0.28914,2.68913,0.17939,0.25107,0.91506,0.9978,1,0.995,0.95173,0.86706,0.86667,0.8188,0.38533,0.3664,2.70476,0.16101,0.33466,0.64886,0.00155648,0.00155648,0.00155648
114,2201.72,0.27578,2.82636,0.18146,0.2467,0.92004,0.9929,1,0.995,0.93171,0.92657,0.93333,0.91394,0.34489,0.46262,2.88532,0.16722,0.36249,0.70415,0.00155252,0.00155252,0.00155252
115,2220.87,0.26762,2.61246,0.17926,0.24041,0.9219,0.96599,1,0.99403,0.92269,0.83719,0.86667,0.85082,0.27899,0.44809,3.14409,0.16392,0.36825,0.72708,0.00154856,0.00154856,0.00154856
116,2239.86,0.28569,2.64408,0.18587,0.26291,0.91614,0.99822,1,0.995,0.94131,0.93241,0.93333,0.95605,0.36572,0.3952,2.63637,0.1543,0.31266,0.65846,0.0015446,0.0015446,0.0015446
117,2259,0.27825,2.6342,0.18442,0.25565,0.92171,0.99831,1,0.995,0.97669,0.88328,0.86667,0.86377,0.36641,0.333,2.85056,0.15431,0.30263,0.61796,0.00154064,0.00154064,0.00154064
118,2278.2,0.27752,2.36254,0.18696,0.24708,0.90734,0.99824,1,0.995,0.9314,0.89919,0.9,0.90479,0.43012,0.40521,2.43925,0.15171,0.29656,0.68097,0.00153668,0.00153668,0.00153668
119,2297.15,0.28021,2.43097,0.18168,0.25201,0.91583,0.99817,1,0.995,0.94773,0.8655,0.86667,0.8539,0.48266,0.34955,2.29563,0.14901,0.28057,0.64621,0.00153272,0.00153272,0.00153272
